1936, Stompin' At The Savoy, Sampson Edgar
1933, Stormy Weather, Arlen Harold
1944, Straighten Up And Fly Right1, Cole Nat King
1951, Straight No Chaser, Monk Thelonious
1957, Straight Street, Coltrane John
1932, Street Of Dreams, Young Victor
1929, Strike Up The Band, Gershwin George
1956, Strode Rode, Rollins Sonny
1960, Strollin', Silver Horace
1928, Struttin' With Some Barbecue, Armstrong Lillian
1956, St. Thomas, Rollins Sonny
1949, Subconscious Lee, Konitz Lee
1943, Suddenly It's Spring, van Heusen Jimmy
1935, Summertime, Gershwin George
1946, Sunday Kind Of Love A1, Belle Barbara
1943, Surrey With The Fringe On The Top, Rodgers Richard
1953, Sway, Ruiz Pablo
1931, Sweet And Lovely1, Arnheim Gus
1925, Sweet Georgia Brown1, Bernie Ben
1928, Sweet Lorraine, Burwell Cliff
1928, Sweet Sue Just You1, Harris Will
1958, Swinging Shepherd Blues The1, Roberts Rhoda
1927, S' Wonderful, Gershwin George
1959, Take Five, Desmond Paul
1941, Take The A Train, Strayhorn Billy
1940, Taking A Chance On Love, Duke Vernon
1942, Tangerine, Schertzinger Victor
1960, Taste Of Honey A, Scott Bobby
1953, Teach Me Tonight, DePaul Gene
1949, Tempus Fugit, Powell Bud
1946, Tenderly, Gross Walter
1956, Tenor Madness, Rollins Sonny
1937, Thanks For The Memory, Robin Leo
1942, That Old Black Magic, Arlen Harold
1937, That Old Feeling, Fain Sammy
1952, That's All1, Haymes Bob
1955, The Duke, Brubeck Dave
1947, Thelonious, Monk Thelonious
1956, Theme The, Davis Miles
1930, Them There Eyes1, Pinkard Maceo
1936, There Is No Greater Love, Jones Isham
1937, There's A Lull In My Life, Revel Harry
1936, There's A Small Hotel, Rodgers Richard
1944, There's No You, Hopper Hal
1942, There Will Never Be Another You, Warren Harry
1936, These Foolish Things, Strachey Jack
1936, They All Laughed, Gershwin George
1937, They Can't Take That Away From Me, Gershwin George
1938, They Say1, Weiss Stephan
1946, They Say It's Wonderful, Berlin Irving
1942, Things Ain't What They Used To Be, Ellington Duke
1946, Things We Did Last Summer The, Styne Jule
1953, Think Of One, Monk Thelonious
1938, This Can't Be Love, Rodgers Richard
1956, This Could Be The Start Of Something, Allen Steve
1960, This I Dig Of You, Mobley Hank
1958, This Is All I Ask, Jenkins Gordon
1958, This Is New, Weill Kurt
1937, This Year's Kisses, Berlin Irving
1927, Thou Swell, Rodgers Richard
1930, Three Little Words, Ruby Harry
1931, Thrill Is Gone The, Henderson Ray
1945, Thriving From A Riff, Parker Charlie
1957, Till There Was You, Wilson Meredith
1947, Time After Time, Styne Jule
1930, Time On My Hands, Youmans Vincent
1951, Tin Tin Deo, Gillespie Dizzy
1954, Tiny Capers, Brown Clifford
1941, Tis Autumn, Nemo Henry
1938, Tisket A Tasket A, Traditional
1957, Tonight, Bernstein Leonard
1926, Tonight You Belong To Me, David Lee
1956, Too Close For Comfort1, Bock Jerry
1937, Too Marvelous For Words, Whiting Richard
1955, Too Young, Lippman Sidney
1955, Too Young To Go Steady, McHugh Jimmy
1926, Touch Of Your Lips The, Noble Ray
1956, Tricotism, Pettiford Oscar
1952, Trinkle Tinkle, Monk Thelonious
1933, Troubled Waters, Johnston Arthur
1932, Try A Little Tenderness, Woods Harry
1953, Tune Up, Davis Miles
1959, Turnaround, Coleman Ornette
1938, Undecided, Shavers Charlie
1933, Under A Blanket Of Blue, Livingston Jerry
1951, Unforgettable, Irving Gordon
1956, Upper Manhattan Medical Group, Strayhorn Billy
1956, Valse Hot, Rollins Sonny
1934, Very Thought Of You The, Noble Ray
1941, Violets For Your Furs1, Dennis Matt
1949, Walkin', Davis Miles
1930, Walkin' My Baby Back Home, Ahlert Fred
1956, Walkin' Shoes, Mulligan Gerry
1940, Warm Valley, Ellington Duke
1936, Way You Look Tonight The, Kern Jerome
1952, Weaver Of Dreams A, Young Victor
1946, Webb City, Powell Bud
1945, We'll Be Together Again, Fisher Carl
1944, Well You Needn't, Monk Thelonious
1954, We See, Monk Thelonious
1960, West Coast Blues, Montgomery Wes
1934, What A Difference A Day Made, Grever Maria
1934, What A Little Moonlight Can Do, Woods Harry
1947, What Are You Doing New Years, Loesser Frank
1930, What Is This Thing Called Love, Porter Cole
1939, What's New, Haggard Bob
1931, When It's Sleepy Time Down South1, Muse Clarence
1958, When Lights Are Low, Carter Benny
1956, When Sunny Gets Blue, Fisher Marvin
1928, When You're Smilin'1, Shay Larry
1940, When You Wish Upon A Star, Washington Ned
1937, Where Or When, Rodgers Richard
1947, While We're Young, Wilder Alec
1958, Whisper Not, Golson Benny
1927, Why Do I Love You?, Kern Jerome
1936, Why Don't You Do Right?, McCoy Kansas Joe
1932, Willow Weep For Me, Ronell Ann
1941, Will You Still Be Mine?, Dennis Matt
1957, Witchcraft, Coleman Cy
1929, With A Song In My Heart, Rodgers Richard
1929, Without A Song, Youmans Vincent
1940, With The Wind And The Rain In Hair, Edwards Clare
1943, Woody'n You, Gillespie Dizzy
1960, Work Song, Adderley Nat
1956, Wouldn't It Be Loverly, Loewe Frederick
1949, Wow, Tristano Lennie
1931, Wrap Your Troubles In Dreams, Barris Harry
1946, Yardbird Suite, Parker Charlie
1933, Yesterdays, Kern Jerome
1934, You And The Night And The Music, Schwartz Arthur
1932, You Are Too Beautiful, Rodgers Richard
1936, You Better Go Now1, Reichner S. Bickley
1930, You Brought A New Kind Of Love1, Fain Sammy 
1932, You Can Depend On Me1, Carpenter Charles
1942, You'd Be So Nice To Come Home To, Porter Cole
1941, You Don't Know What Love Is, DePaul Gene
1929, You Do Something To Me, Porter Cole
1938, You Go To My Head, Coots Fred
1946, You Keep Coming Back Like A Song, Berlin Irving
1946, You Make Me Feel So Young, Myrow Josef
1954, Young And Foolish, Hague Albert
1954, Young At Heart, Richards Johnny
1937, You're Laughing At Me, Berlin Irving
1931, You're My Everything, Warren Harry
1934, You're My Thrill, Gorney Jay
1944, You're Nobody Till Somebody Loves You1, Morgan Russ
1934, You're The Top, Porter Cole
1940, You Stepped Out Of A Dream, Nacio Herb Brown
1928, You Took Advantage Of Me, Rodgers Richard
1936, You Turned The Tables on Me, Alter Louis
1941, You've Changed, Fisher Carl
1953, You Won't Forget Me1, Goell Kermit
1934, Zing Went The Strings Of My Heart, Hanley James
